TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Dlx2	MA0885.1	Homeo domain factors	NK-related factors	vertebrates	9.033	0.215	850	160	832	178	3659	0.026	3956	0.029	-13.618	1.861
Bhlha15	MA0607.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	11.820	0.455	754	256	733	277	1518	0.011	1532	0.011	-1.062	1.856
NOTO	MA0710.1	Homeo domain factors	NK-related factors	vertebrates	9.584	0.280	842	168	824	186	2995	0.027	3270	0.030	-15.505	1.833
FOXC2	MA0846.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.607	0.229	603	407	580	430	1380	0.015	1543	0.017	-14.548	1.831
NFE2	MA0841.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	16.895	0.417	164	846	147	863	180	0.002	169	0.002	2.781	1.820
JDP2	MA0655.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	15.102	0.355	235	775	216	794	286	0.002	269	0.002	3.084	1.783
Myod1	MA0499.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	13.102	0.600	944	66	932	78	3288	0.039	2938	0.035	23.615	1.767
Hand1::Tcf3	MA0092.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	Tal-related factors::E2A-related factors	vertebrates	10.144	0.507	783	227	764	246	1648	0.015	1618	0.015	2.325	1.759
Myb	MA0100.2	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	13.365	0.452	768	242	749	261	1714	0.015	1489	0.013	18.512	1.731
SP8	MA0747.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.140	0.714	826	184	809	201	2472	0.027	2553	0.028	-5.699	1.702
IRF9	MA0653.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	24.834	0.425	19	991	13	997	19	0.000	13	0.000	6.404	1.679
Pparg::Rxra	MA0065.2	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)	vertebrates	11.663	0.547	315	695	296	714	381	0.005	375	0.005	1.169	1.652
Hoxa11	MA0911.1	Homeo domain factors	HOX-related factors	vertebrates	11.443	0.370	268	742	250	760	344	0.004	330	0.004	2.643	1.644
Tcf12	MA0521.1	Basic helix-loop-helix factors (bHLH)	E2A-related factors	vertebrates	13.159	0.597	907	103	894	116	2788	0.028	2455	0.024	22.499	1.633
Lhx4	MA0704.1	Homeo domain factors	HD-LIM factors	vertebrates	8.328	0.194	771	239	754	256	2667	0.019	2908	0.021	-12.833	1.590
HOXD12	MA0873.1	Homeo domain factors	HOX-related factors	vertebrates	14.187	0.355	218	792	202	808	267	0.003	231	0.002	7.835	1.583
Klf12	MA0742.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	16.798	0.612	360	650	342	668	522	0.007	499	0.007	3.963	1.544
NR2C2	MA0504.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	16.248	0.589	395	615	377	633	532	0.007	522	0.007	1.663	1.522
HLF	MA0043.2	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	11.834	0.365	443	567	425	585	673	0.007	662	0.007	1.448	1.503
TBR1	MA0802.1	T-Box factors	TBrain-related factors	vertebrates	12.472	0.439	472	538	454	556	692	0.006	663	0.006	3.536	1.497
Arid3b	MA0601.1	ARID domain factors	ARID-related factors	vertebrates	10.307	0.153	485	525	467	543	1004	0.010	1117	0.011	-11.320	1.495
Klf1	MA0493.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.595	0.665	836	174	822	188	2422	0.024	2311	0.023	7.684	1.490
RAX	MA0718.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.540	0.256	661	349	644	366	1618	0.015	1890	0.017	-20.007	1.477
NKX3-2	MA0122.2	Homeo domain factors	NK-related factors	vertebrates	10.208	0.421	788	222	773	237	1784	0.015	1672	0.014	8.223	1.476
PAX4	MA0068.2	Paired box factors	Paired plus homeo domain	vertebrates	9.469	0.309	435	575	418	592	675	0.005	677	0.005	-0.252	1.446
NR4A2	MA0160.1	Nuclear receptors with C4 zinc fingers	NGFI-B-related receptors (NR4)	vertebrates	10.165	0.491	845	165	832	178	1951	0.014	1975	0.014	-1.589	1.433
Hmx1	MA0896.1	Homeo domain factors	NK-related factors	vertebrates	13.599	0.383	41	969	34	976	42	0.001	36	0.001	4.094	1.426
POU3F1	MA0786.1	Homeo domain factors	POU domain factors	vertebrates	11.957	0.245	307	703	292	718	462	0.005	458	0.005	0.615	1.396
SP3	MA0746.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	10.325	0.709	918	92	908	102	4857	0.048	4689	0.047	8.245	1.393
TBP	MA0108.2	TATA-binding proteins	TBP-related factors	vertebrates	10.086	0.377	442	568	426	584	646	0.009	677	0.009	-4.677	1.386
NEUROD2	MA0668.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	10.701	0.465	858	152	846	164	1929	0.017	2045	0.018	-8.243	1.385
RREB1	MA0073.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	22.278	0.623	134	876	123	887	142	0.003	137	0.002	1.884	1.378
JUN(var.2)	MA0489.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	13.941	0.426	380	630	365	645	520	0.007	496	0.006	4.007	1.350
TAL1::TCF3	MA0091.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	Tal-related factors::E2A-related factors	vertebrates	14.070	0.453	231	779	218	792	277	0.003	254	0.003	4.976	1.346
OTX1	MA0711.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.437	0.416	869	141	858	152	2666	0.019	2803	0.020	-7.452	1.333
RXRA::VDR	MA0074.1	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)::Thyroid hormone receptor-related factors (NR1)	vertebrates	20.451	0.527	23	987	18	992	23	0.000	18	0.000	4.528	1.331
Id2	MA0617.1	Basic helix-loop-helix factors (bHLH)	HLH domain only	vertebrates	12.659	0.623	460	550	445	565	641	0.005	643	0.005	-0.257	1.326
RXRG	MA0856.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	22.332	0.505	53	957	46	964	53	0.001	48	0.001	2.672	1.316
MAFG	MA0659.1	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	16.353	0.463	7	1003	4	1006	8	0.000	4	0.000	9.106	1.295
POU1F1	MA0784.1	Homeo domain factors	POU domain factors	vertebrates	14.958	0.281	104	906	95	915	116	0.001	105	0.001	3.991	1.290
NR3C1	MA0113.3	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	19.181	0.483	41	969	35	975	42	0.001	38	0.001	2.647	1.275
Ar	MA0007.3	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	18.664	0.539	28	982	23	987	28	0.000	24	0.000	3.334	1.254
E2F6	MA0471.1	Fork head / winged helix factors	E2F-related factors	vertebrates	13.338	0.693	971	39	965	45	5699	0.057	5541	0.055	7.146	1.242
E2F3	MA0469.2	Fork head / winged helix factors	E2F-related factors	vertebrates	21.784	0.442	8	1002	5	1005	8	0.000	5	0.000	5.635	1.238
MEOX1	MA0661.1	Homeo domain factors	HOX-related factors	vertebrates	9.622	0.316	622	388	609	401	1310	0.012	1329	0.012	-1.705	1.231
MEIS3	MA0775.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	9.016	0.490	985	25	980	30	4233	0.031	4185	0.030	2.060	1.230
ZBTB7B	MA0694.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.963	0.628	411	599	398	612	548	0.006	553	0.006	-0.775	1.228
PKNOX1	MA0782.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	21.435	0.506	48	962	42	968	49	0.001	44	0.000	2.581	1.221
LHX6	MA0658.1	Homeo domain factors	HD-LIM factors	vertebrates	10.963	0.288	444	566	431	579	691	0.006	731	0.007	-4.730	1.221
DUXA	MA0884.1	Homeo domain factors	Paired-related HD factors	vertebrates	12.572	0.301	227	783	216	794	275	0.003	270	0.003	1.068	1.219
Gata1	MA0035.3	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.597	0.352	476	534	463	547	786	0.008	723	0.007	7.759	1.217
T	MA0009.2	T-Box factors	Brachyury-related factors	vertebrates	18.965	0.510	9	1001	6	1004	9	0.000	6	0.000	4.844	1.194
HOXA10	MA0899.1	Homeo domain factors	HOX-related factors	vertebrates	9.141	0.292	586	424	574	436	1382	0.014	1453	0.014	-6.272	1.170
MZF1	MA0056.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	8.586	0.725	1009	1	1007	3	11626	0.063	11326	0.061	7.026	1.164
SP1	MA0079.3	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.323	0.810	976	34	971	39	8987	0.089	8564	0.085	15.728	1.149
GATA2	MA0036.2	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.428	0.361	373	637	362	648	541	0.007	522	0.007	3.084	1.134
GCM2	MA0767.1	GCM domain factors	GCM factors	vertebrates	11.005	0.594	720	290	710	300	1383	0.013	1359	0.012	2.024	1.109
DBP	MA0639.1	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	13.741	0.344	309	701	299	711	410	0.004	396	0.004	2.409	1.105
HSF1	MA0486.2	Heat shock factors	HSF factors	vertebrates	18.738	0.366	74	936	68	942	77	0.001	74	0.001	1.230	1.103
ZIC3	MA0697.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	17.252	0.750	162	848	154	856	184	0.002	185	0.003	-0.314	1.096
NFATC2	MA0152.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	9.859	0.346	845	165	837	173	2418	0.015	2330	0.015	4.807	1.084
Hoxd9	MA0913.1	Homeo domain factors	HOX-related factors	vertebrates	9.118	0.300	648	362	638	372	1862	0.017	2025	0.018	-11.615	1.083
Creb3l2	MA0608.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	12.997	0.624	603	407	593	417	984	0.008	1011	0.008	-2.598	1.073
Spz1	MA0111.1	Basic helix-loop-helix factors (bHLH)	-	vertebrates	11.907	0.538	423	587	413	597	538	0.005	547	0.005	-1.314	1.072
Foxa2	MA0047.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.268	0.315	461	549	451	559	753	0.008	787	0.009	-4.257	1.068
BATF::JUN	MA0462.1	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	B-ATF-related factors::Jun-related factors	vertebrates	13.645	0.367	551	459	541	469	962	0.010	947	0.009	1.582	1.067
ZEB1	MA0103.2	Homeo domain factors	HD-ZF factors	vertebrates	13.264	0.621	876	134	869	141	2176	0.018	2246	0.018	-4.527	1.054
TEAD4	MA0809.1	TEA domain factors	TEF-1-related factors	vertebrates	9.386	0.418	868	142	861	149	2636	0.024	2803	0.025	-10.167	1.044
CEBPA	MA0102.3	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	13.338	0.344	670	340	661	349	1383	0.014	1490	0.015	-9.312	1.039
TGIF1	MA0796.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	22.281	0.543	16	994	13	997	16	0.000	13	0.000	2.837	1.037
TBX2	MA0688.1	T-Box factors	TBX2-related factors	vertebrates	10.262	0.450	524	486	515	495	822	0.008	838	0.008	-1.881	1.019
RARA	MA0729.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	28.136	0.482	5	1005	3	1007	5	0.000	3	0.000	4.827	1.013
Sox6	MA0515.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	13.201	0.401	815	195	808	202	1926	0.017	1986	0.018	-4.351	0.998
PDX1	MA0132.2	Homeo domain factors	HOX-related factors	vertebrates	9.911	0.238	698	312	690	320	2042	0.015	2370	0.017	-19.273	0.998
MSX1	MA0666.1	Homeo domain factors	NK-related factors	vertebrates	8.661	0.279	804	206	797	213	2444	0.018	2612	0.019	-9.442	0.992
TBX21	MA0690.1	T-Box factors	TBrain-related factors	vertebrates	13.531	0.425	360	650	352	658	458	0.004	473	0.004	-2.218	0.988
TBX20	MA0689.1	T-Box factors	TBX1-related factors	vertebrates	13.845	0.429	264	746	257	753	336	0.003	317	0.003	3.514	0.967
Msx3	MA0709.1	Homeo domain factors	NK-related factors	vertebrates	9.864	0.246	743	267	736	274	2051	0.015	2218	0.016	-10.162	0.964
EOMES	MA0800.1	T-Box factors	TBrain-related factors	vertebrates	12.412	0.416	279	731	272	738	331	0.004	350	0.004	-3.701	0.962
EGR3	MA0732.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	18.153	0.721	299	711	292	718	405	0.005	404	0.005	0.158	0.956
POU3F3	MA0788.1	Homeo domain factors	POU domain factors	vertebrates	13.499	0.222	199	811	193	817	260	0.003	264	0.003	-0.919	0.944
Pou5f1::Sox2	MA0142.1	Homeo domain factors::High-mobility group (HMG) domain factors	POU domain factors::SOX-related factors	vertebrates	14.808	0.308	67	943	63	947	73	0.001	64	0.001	4.331	0.934
Lhx8	MA0705.1	Homeo domain factors	HD-LIM factors	vertebrates	8.840	0.303	781	229	775	235	2001	0.014	1987	0.014	0.844	0.927
Rxra	MA0512.2	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	22.648	0.503	39	971	36	974	39	0.000	38	0.000	0.577	0.899
PBX1	MA0070.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	14.641	0.310	96	914	92	918	106	0.001	104	0.001	0.653	0.894
CREB1	MA0018.2	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	10.139	0.523	580	430	574	436	889	0.006	896	0.006	-0.700	0.889
ZBED1	MA0749.1	C2H2 zinc finger factors	BED zinc finger factors	vertebrates	19.052	0.485	11	999	9	1001	11	0.000	9	0.000	2.353	0.888
KLF14	MA0740.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	16.072	0.661	498	512	492	518	892	0.011	892	0.011	-0.046	0.887
TEAD3	MA0808.1	TEA domain factors	TEF-1-related factors	vertebrates	11.506	0.415	888	122	884	126	2548	0.018	2897	0.021	-18.591	0.869
ESR1	MA0112.3	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	22.540	0.570	14	996	12	998	14	0.000	13	0.000	1.104	0.863
Hes2	MA0616.1	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	8.309	0.532	389	621	384	626	511	0.006	486	0.006	4.064	0.850
JUNB	MA0490.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	13.910	0.457	600	410	595	415	1015	0.010	996	0.010	1.963	0.848
FOXB1	MA0845.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	12.241	0.200	429	581	424	586	797	0.008	879	0.009	-9.253	0.847
Hoxc9	MA0485.1	Homeo domain factors	HOX-related factors	vertebrates	13.615	0.344	175	835	171	839	203	0.002	203	0.002	-0.029	0.845
ID4	MA0824.1	Basic helix-loop-helix factors (bHLH)	HLH domain only	vertebrates	11.591	0.601	904	106	901	109	2668	0.024	2769	0.025	-6.211	0.815
NR3C2	MA0727.1	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	18.985	0.510	40	970	38	972	41	0.001	41	0.001	-0.029	0.789
Vdr	MA0693.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	21.487	0.479	46	964	44	966	47	0.001	49	0.001	-1.171	0.783
HOXB13	MA0901.1	Homeo domain factors	HOX-related factors	vertebrates	12.254	0.281	554	456	551	459	1041	0.009	1294	0.012	-22.414	0.767
Hoxa9	MA0594.1	Homeo domain factors	HOX-related factors	vertebrates	13.740	0.326	215	795	213	797	251	0.002	277	0.003	-5.217	0.738
PITX3	MA0714.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.973	0.406	791	219	789	221	1865	0.015	2118	0.017	-16.688	0.737
Shox2	MA0720.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.249	0.214	789	221	787	223	2754	0.020	3086	0.022	-17.154	0.737
PRRX1	MA0716.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.226	0.213	754	256	752	258	2457	0.018	2707	0.020	-13.781	0.735
Rhox11	MA0629.1	Homeo domain factors	Paired-related HD factors	vertebrates	12.000	0.431	102	908	101	909	111	0.002	109	0.002	0.763	0.693
KLF5	MA0599.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.860	0.792	998	12	997	13	11799	0.107	11357	0.103	13.712	0.693
TBX19	MA0804.1	T-Box factors	Brachyury-related factors	vertebrates	17.480	0.448	2	1008	1	1009	2	0.000	1	0.000	4.358	0.693
SOX8	MA0868.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	28.805	0.342	3	1007	2	1008	3	0.000	2	0.000	2.738	0.693
ZNF354C	MA0130.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	8.958	0.615	1009	1	1008	2	9325	0.051	9623	0.052	-7.734	0.693
NKX2-8	MA0673.1	Homeo domain factors	NK-related factors	vertebrates	9.033	0.458	1010	0	1009	1	7907	0.064	7691	0.063	7.529	0.693
Mecom	MA0029.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	17.909	0.280	43	967	42	968	45	0.001	44	0.001	0.535	0.693
Stat5a::Stat5b	MA0519.1	STAT domain factors::STAT domain factors	STAT factors::STAT factors	vertebrates	13.332	0.399	865	145	864	146	2448	0.024	2266	0.023	12.762	0.693
RHOXF1	MA0719.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.182	0.438	1010	0	1009	1	12982	0.094	13288	0.096	-8.023	0.693
Atoh1	MA0461.2	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	11.381	0.409	496	514	496	514	757	0.007	784	0.007	-3.098	0.658
HINFP	MA0131.2	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	13.024	0.717	566	444	566	444	1167	0.013	1131	0.012	3.683	0.658
EMX2	MA0886.1	Homeo domain factors	NK-related factors	vertebrates	10.283	0.288	713	297	713	297	1883	0.017	2212	0.020	-22.400	0.655
E2F1	MA0024.3	Fork head / winged helix factors	E2F-related factors	vertebrates	13.048	0.553	105	905	105	905	119	0.001	116	0.001	0.938	0.637
ATF4	MA0833.1	Basic leucine zipper factors (bZIP)	ATF-4-related factors	vertebrates	15.609	0.443	101	909	101	909	116	0.001	106	0.001	3.476	0.636
GRHL1	MA0647.1	Grainyhead domain factors	Grainyhead-related factors	vertebrates	14.286	0.390	91	919	91	919	98	0.001	98	0.001	-0.027	0.633
Klf4	MA0039.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.618	0.771	951	59	951	59	6425	0.058	6206	0.056	8.951	0.620
GBX2	MA0890.1	Homeo domain factors	HOX-related factors	vertebrates	10.020	0.296	698	312	699	311	1651	0.015	1830	0.017	-13.394	0.619
MAF::NFE2	MA0501.1	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	Maf-related factors::Jun-related factors	vertebrates	17.621	0.429	50	960	50	960	51	0.001	52	0.001	-0.565	0.615
GLIS2	MA0736.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	16.871	0.758	236	774	237	773	317	0.004	327	0.004	-2.105	0.613
MAX::MYC	MA0059.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors::bHLH-ZIP factors	vertebrates	14.237	0.602	178	832	179	831	195	0.002	198	0.002	-0.736	0.604
Esrrg	MA0643.1	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	13.141	0.453	626	384	628	382	1029	0.009	1003	0.009	2.566	0.589
HSF2	MA0770.1	Heat shock factors	HSF factors	vertebrates	17.218	0.359	107	903	108	902	111	0.001	117	0.001	-2.028	0.585
ZBTB7A	MA0750.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	12.788	0.684	311	699	313	697	377	0.004	409	0.004	-5.525	0.584
Nkx3-1	MA0124.2	Homeo domain factors	NK-related factors	vertebrates	11.264	0.422	734	276	736	274	1512	0.012	1453	0.012	4.624	0.581
TFAP2C(var.2)	MA0814.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	11.387	0.715	933	77	934	76	4223	0.042	4371	0.043	-7.674	0.568
VSX1	MA0725.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.078	0.217	618	392	621	389	1517	0.011	1798	0.013	-18.912	0.558
EGR1	MA0162.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.889	0.785	947	63	948	62	6871	0.087	6658	0.084	10.087	0.556
OTX2	MA0712.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.434	0.355	854	156	856	154	2994	0.022	3517	0.025	-25.328	0.556
MSX2	MA0708.1	Homeo domain factors	NK-related factors	vertebrates	9.959	0.264	652	358	655	355	1392	0.010	1442	0.010	-3.787	0.555
POU4F2	MA0683.1	Homeo domain factors	POU domain factors	vertebrates	20.936	0.268	13	997	13	997	13	0.000	13	0.000	-0.040	0.548
EN1	MA0027.2	Homeo domain factors	NK-related factors	vertebrates	9.349	0.249	794	216	797	213	2636	0.019	2878	0.021	-12.951	0.534
HESX1	MA0894.1	Homeo domain factors	Paired-related HD factors	vertebrates	10.744	0.273	587	423	591	419	1204	0.011	1437	0.013	-19.609	0.529
Pitx1	MA0682.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.584	0.371	829	181	832	178	2173	0.016	2531	0.018	-20.366	0.524
GATA5	MA0766.1	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	8.347	0.307	840	170	843	167	2852	0.021	3031	0.022	-9.358	0.520
RARA(var.2)	MA0730.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	22.768	0.535	7	1003	7	1003	7	0.000	8	0.000	-1.505	0.502
Arx	MA0874.1	Homeo domain factors	Paired-related HD factors	vertebrates	14.279	0.327	28	982	29	981	29	0.000	31	0.000	-1.511	0.501
Sox5	MA0087.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	10.831	0.199	555	455	560	450	1187	0.008	1356	0.009	-12.234	0.501
FOSL1	MA0477.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	14.281	0.477	560	450	565	445	930	0.009	930	0.009	-0.042	0.501
Pax6	MA0069.1	Paired box factors	Paired plus homeo domain	vertebrates	13.798	0.432	27	983	28	982	28	0.000	28	0.000	-0.033	0.498
Nr2e3	MA0164.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	12.028	0.373	208	802	212	798	249	0.002	239	0.002	1.685	0.498
FIGLA	MA0820.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	10.386	0.566	893	117	896	114	2491	0.023	2528	0.023	-2.416	0.494
USF2	MA0526.1	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	13.559	0.555	663	347	668	342	1178	0.012	1206	0.012	-2.737	0.493
HOXC13	MA0907.1	Homeo domain factors	HOX-related factors	vertebrates	14.190	0.361	193	817	197	813	222	0.002	230	0.002	-1.780	0.493
GLIS3	MA0737.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	21.032	0.585	24	986	25	985	24	0.000	25	0.000	-0.782	0.488
Bach1::Mafk	MA0591.1	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	Jun-related factors::Maf-related factors	vertebrates	18.324	0.548	56	954	58	952	58	0.001	60	0.001	-1.028	0.488
Sox17	MA0078.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	10.502	0.384	703	307	708	302	1452	0.012	1547	0.013	-7.338	0.487
PLAG1	MA0163.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	19.352	0.798	173	837	177	833	219	0.003	202	0.003	4.451	0.485
VENTX	MA0724.1	Homeo domain factors	NK-related factors	vertebrates	11.046	0.353	608	402	614	396	1239	0.010	1525	0.012	-22.152	0.470
GATA1::TAL1	MA0140.2	Other C4 zinc finger-type factors::Basic helix-loop-helix factors (bHLH)	GATA-type zinc fingers::Tal-related factors	vertebrates	14.296	0.444	123	887	127	883	138	0.002	141	0.002	-1.101	0.459
Nr2f6	MA0677.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	18.175	0.483	38	972	40	970	38	0.000	43	0.001	-2.883	0.454
RORA(var.2)	MA0072.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	17.425	0.369	69	941	72	938	72	0.001	79	0.001	-2.975	0.452
ESRRB	MA0141.3	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	16.338	0.420	176	834	181	829	197	0.002	203	0.002	-1.426	0.451
Rarb(var.2)	MA0858.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	24.795	0.471	4	1006	4	1006	4	0.000	4	0.000	-0.064	0.451
HOXD13	MA0909.1	Homeo domain factors	HOX-related factors	vertebrates	12.209	0.267	612	398	619	391	1349	0.012	1719	0.016	-28.489	0.443
HOXD11	MA0908.1	Homeo domain factors	HOX-related factors	vertebrates	12.370	0.321	346	664	353	657	508	0.005	543	0.005	-4.794	0.437
Alx4	MA0853.1	Homeo domain factors	Paired-related HD factors	vertebrates	13.490	0.348	31	979	33	977	32	0.000	34	0.001	-1.444	0.433
Gfi1	MA0038.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	9.470	0.391	691	319	698	312	1431	0.013	1470	0.013	-3.287	0.432
Nkx2-5(var.2)	MA0503.1	Homeo domain factors	NK-related factors	vertebrates	12.615	0.534	870	140	875	135	2077	0.021	2095	0.021	-1.377	0.429
HEY1	MA0823.1	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	12.269	0.677	482	528	490	520	769	0.007	785	0.007	-1.850	0.422
FOS	MA0476.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	13.637	0.423	458	552	466	544	712	0.007	721	0.007	-1.154	0.421
ZNF410	MA0752.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	24.530	0.381	3	1007	3	1007	3	0.000	3	0.000	-0.073	0.421
Crx	MA0467.1	Homeo domain factors	Paired-related HD factors	vertebrates	12.929	0.404	435	575	443	567	623	0.006	662	0.007	-5.080	0.420
RARA::RXRA	MA0159.1	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)	vertebrates	16.004	0.535	40	970	43	967	42	0.001	44	0.001	-1.272	0.396
ZBTB7C	MA0695.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	10.450	0.618	578	432	587	423	948	0.010	951	0.010	-0.383	0.395
POU6F2	MA0793.1	Homeo domain factors	POU domain factors	vertebrates	11.693	0.311	391	619	400	610	581	0.005	641	0.006	-7.550	0.392
