TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Gata1	MA0035.3	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.597	0.352	532	439	523	448	912	0.010	962	0.010	-5.485	1.028
TEAD1	MA0090.2	TEA domain factors	TEF-1-related factors	vertebrates	9.508	0.424	901	70	896	75	3258	0.031	3149	0.030	6.040	1.008
HOXC11	MA0651.1	Homeo domain factors	HOX-related factors	vertebrates	12.647	0.358	331	640	323	648	474	0.005	484	0.005	-1.595	0.999
Esrrg	MA0643.1	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	13.141	0.453	661	310	654	317	1222	0.012	1093	0.010	12.281	0.953
SP1	MA0079.3	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.323	0.810	916	55	912	59	7427	0.078	6370	0.067	45.155	0.952
RUNX2	MA0511.2	Runt domain factors	Runt-related factors	vertebrates	11.551	0.475	652	319	645	326	1107	0.009	1104	0.009	0.161	0.951
TGIF2	MA0797.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	18.378	0.488	63	908	59	912	65	0.001	65	0.001	-0.047	0.943
RFX2	MA0600.2	Fork head / winged helix factors	RFX-related factors	vertebrates	20.246	0.536	32	939	29	942	34	0.001	31	0.000	2.109	0.923
Sox2	MA0143.3	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	13.532	0.436	896	75	892	79	2726	0.021	2841	0.022	-6.331	0.915
E2F7	MA0758.1	Fork head / winged helix factors	E2F-related factors	vertebrates	24.200	0.458	10	961	8	963	10	0.000	8	0.000	2.586	0.899
TCF7L2	MA0523.1	Basic helix-loop-helix factors (bHLH)	TCF-7-related factors	vertebrates	13.486	0.398	529	442	523	448	918	0.012	909	0.012	0.999	0.892
DUXA	MA0884.1	Homeo domain factors	Paired-related HD factors	vertebrates	12.572	0.301	245	726	240	731	325	0.004	313	0.004	2.374	0.875
ERF	MA0760.1	Tryptophan cluster factors	Ets-related factors	vertebrates	12.896	0.540	327	644	322	649	408	0.004	423	0.004	-2.386	0.859
GLIS3	MA0737.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	21.032	0.585	21	950	19	952	21	0.000	21	0.000	-0.047	0.829
TBX1	MA0805.1	T-Box factors	TBX1-related factors	vertebrates	12.823	0.498	712	259	708	263	1317	0.010	1432	0.011	-8.757	0.823
CREB3L1	MA0839.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	17.262	0.560	26	945	24	947	27	0.000	25	0.000	1.450	0.814
BHLHE40	MA0464.2	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	12.695	0.599	464	507	460	511	666	0.006	691	0.007	-3.110	0.808
Ar	MA0007.3	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	18.664	0.539	37	934	35	936	37	0.001	35	0.001	1.347	0.794
ELK3	MA0759.1	Tryptophan cluster factors	Ets-related factors	vertebrates	11.791	0.539	424	547	421	550	601	0.006	608	0.006	-0.989	0.769
TFAP2A	MA0003.3	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	11.101	0.742	892	79	890	81	5818	0.061	5271	0.055	25.432	0.761
ELF4	MA0641.1	Tryptophan cluster factors	Ets-related factors	vertebrates	16.253	0.606	116	855	114	857	129	0.001	130	0.001	-0.358	0.751
FOXF2	MA0030.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	14.824	0.334	121	850	119	852	133	0.002	130	0.002	0.928	0.750
TFAP2B(var.2)	MA0812.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	12.568	0.731	820	151	818	153	2903	0.030	2703	0.028	12.749	0.744
GATA1::TAL1	MA0140.2	Other C4 zinc finger-type factors::Basic helix-loop-helix factors (bHLH)	GATA-type zinc fingers::Tal-related factors	vertebrates	14.296	0.444	164	807	162	809	186	0.003	184	0.003	0.557	0.743
NFE2	MA0841.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	16.895	0.417	171	800	169	802	194	0.002	188	0.002	1.393	0.742
TEF	MA0843.1	TEA domain factors	TEF-1-related factors	vertebrates	14.579	0.317	233	738	231	740	306	0.004	310	0.004	-0.861	0.737
TBX19	MA0804.1	T-Box factors	Brachyury-related factors	vertebrates	17.480	0.448	4	967	3	968	4	0.000	3	0.000	2.508	0.693
JDP2(var.2)	MA0656.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	17.511	0.485	90	881	89	882	97	0.001	93	0.001	1.387	0.693
TFCP2	MA0145.3	Grainyhead domain factors	CP2-related factors	vertebrates	11.701	0.441	287	684	286	685	354	0.003	351	0.003	0.436	0.693
RFX5	MA0510.2	Fork head / winged helix factors	RFX-related factors	vertebrates	20.460	0.515	23	948	22	949	24	0.000	24	0.000	-0.046	0.693
RORA(var.2)	MA0072.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	17.425	0.369	92	879	91	880	98	0.001	105	0.001	-2.610	0.693
TFAP2C(var.2)	MA0814.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	11.387	0.715	864	107	863	108	3629	0.038	3414	0.036	12.211	0.693
Rfx1	MA0509.1	Fork head / winged helix factors	RFX-related factors	vertebrates	15.161	0.557	142	829	141	830	161	0.002	155	0.002	1.744	0.693
NKX2-8	MA0673.1	Homeo domain factors	NK-related factors	vertebrates	9.033	0.458	971	0	970	1	7734	0.066	7894	0.068	-5.887	0.693
Foxj2	MA0614.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.782	0.247	763	208	762	209	2532	0.019	3017	0.023	-25.424	0.693
HOXC12	MA0906.1	Homeo domain factors	HOX-related factors	vertebrates	14.403	0.356	263	708	262	709	330	0.003	349	0.004	-3.451	0.693
EHF	MA0598.2	Tryptophan cluster factors	Ets-related factors	vertebrates	14.797	0.591	130	841	129	842	138	0.002	145	0.002	-2.071	0.693
Dux	MA0611.1	Homeo domain factors	Paired-related HD factors	vertebrates	11.804	0.338	436	535	435	536	685	0.005	714	0.005	-3.163	0.693
SNAI2	MA0745.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	9.486	0.570	966	5	965	6	5879	0.050	5495	0.047	15.669	0.693
Alx4	MA0853.1	Homeo domain factors	Paired-related HD factors	vertebrates	13.490	0.348	36	935	35	936	38	0.001	37	0.001	0.631	0.693
POU4F2	MA0683.1	Homeo domain factors	POU domain factors	vertebrates	20.936	0.268	19	952	18	953	19	0.000	18	0.000	0.895	0.693
MAFG	MA0659.1	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	16.353	0.463	11	960	10	961	11	0.000	10	0.000	1.399	0.693
Arnt	MA0004.1	Basic helix-loop-helix factors (bHLH)	PAS domain factors	vertebrates	10.992	0.642	454	517	454	517	709	0.004	741	0.004	-2.962	0.658
DBP	MA0639.1	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	13.741	0.344	319	652	319	652	448	0.005	477	0.005	-4.697	0.655
USF2	MA0526.1	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	13.559	0.555	671	300	671	300	1227	0.013	1214	0.013	1.117	0.655
GATA3	MA0037.2	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.796	0.265	805	166	805	166	2549	0.019	2829	0.022	-15.209	0.646
Pou2f3	MA0627.1	Homeo domain factors	POU domain factors	vertebrates	15.067	0.318	78	893	78	893	83	0.001	86	0.001	-1.347	0.629
E2F6	MA0471.1	Fork head / winged helix factors	E2F-related factors	vertebrates	13.338	0.693	901	70	901	70	4600	0.048	4351	0.046	12.570	0.626
ZBTB7A	MA0750.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	12.788	0.684	258	713	259	712	310	0.004	317	0.004	-1.437	0.615
CDX1	MA0878.1	Homeo domain factors	HOX-related factors	vertebrates	9.270	0.234	720	251	721	250	2637	0.023	3202	0.028	-30.544	0.614
Nr2e3	MA0164.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	12.028	0.373	246	725	247	724	303	0.002	296	0.002	1.018	0.613
PKNOX2	MA0783.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	21.223	0.512	39	932	39	932	40	0.000	41	0.000	-0.587	0.605
Arx	MA0874.1	Homeo domain factors	Paired-related HD factors	vertebrates	14.279	0.327	26	945	26	945	27	0.000	26	0.000	0.762	0.587
TEAD4	MA0809.1	TEA domain factors	TEF-1-related factors	vertebrates	9.386	0.418	875	96	876	95	3119	0.030	3222	0.031	-6.021	0.579
MGA	MA0801.1	T-Box factors	TBX6-related factors	vertebrates	10.832	0.509	901	70	902	69	2591	0.020	2812	0.021	-12.074	0.562
RFX3	MA0798.1	Fork head / winged helix factors	RFX-related factors	vertebrates	16.894	0.507	65	906	66	905	68	0.001	71	0.001	-1.475	0.559
IRF9	MA0653.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	24.834	0.425	13	958	13	958	14	0.000	13	0.000	1.023	0.548
Gfi1	MA0038.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	9.470	0.391	716	255	719	252	1614	0.015	1659	0.016	-3.661	0.542
Creb5	MA0840.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	16.321	0.443	118	853	120	851	126	0.001	130	0.001	-1.270	0.541
HSF2	MA0770.1	Heat shock factors	HSF factors	vertebrates	17.218	0.359	110	861	112	859	120	0.001	122	0.002	-0.708	0.537
MAFK	MA0496.1	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	13.869	0.395	462	509	466	505	757	0.011	695	0.010	9.036	0.528
Hoxd8	MA0910.1	Homeo domain factors	HOX-related factors	vertebrates	12.824	0.247	38	933	39	932	40	0.001	43	0.001	-1.933	0.524
PAX1	MA0779.1	Paired box factors	Paired domain only	vertebrates	19.655	0.599	35	936	36	935	36	0.001	37	0.001	-0.724	0.518
FOXL1	MA0033.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	10.626	0.221	898	73	900	71	5261	0.035	5951	0.040	-24.360	0.507
ATF7	MA0834.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	17.313	0.456	68	903	70	901	72	0.001	73	0.001	-0.487	0.503
XBP1	MA0844.1	Basic leucine zipper factors (bZIP)	XBP-1-related factors	vertebrates	15.475	0.537	65	906	67	904	67	0.001	72	0.001	-2.254	0.500
STAT1::STAT2	MA0517.1	STAT domain factors::STAT domain factors	STAT factors::STAT factors	vertebrates	16.390	0.373	214	757	218	753	273	0.004	262	0.004	2.561	0.498
BATF::JUN	MA0462.1	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	B-ATF-related factors::Jun-related factors	vertebrates	13.645	0.367	573	398	578	393	1074	0.011	1071	0.011	0.185	0.496
Hmx3	MA0898.1	Homeo domain factors	NK-related factors	vertebrates	13.950	0.330	22	949	23	948	22	0.000	24	0.000	-1.729	0.481
BATF3	MA0835.1	Basic leucine zipper factors (bZIP)	B-ATF-related factors	vertebrates	23.217	0.484	5	966	5	966	5	0.000	5	0.000	-0.069	0.473
Klf12	MA0742.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	16.798	0.612	301	670	307	664	399	0.006	423	0.006	-4.622	0.456
FOS::JUN	MA0099.2	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	Fos-related factors::Jun-related factors	vertebrates	9.193	0.405	900	71	903	68	3373	0.023	3730	0.025	-15.830	0.450
Hoxb5	MA0904.1	Homeo domain factors	HOX-related factors	vertebrates	12.676	0.334	35	936	37	934	35	0.001	40	0.001	-3.208	0.445
TP53	MA0106.3	p53 domain factors	p53-related factors	vertebrates	20.661	0.551	14	957	15	956	14	0.000	15	0.000	-1.143	0.438
NRL	MA0842.1	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	8.257	0.452	829	142	834	137	2154	0.023	2090	0.022	4.527	0.429
NFATC2	MA0152.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	9.859	0.346	850	121	855	116	2577	0.017	2463	0.016	5.981	0.414
Rhox11	MA0629.1	Homeo domain factors	Paired-related HD factors	vertebrates	12.000	0.431	115	856	120	851	124	0.002	130	0.002	-2.231	0.413
Vdr	MA0693.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	21.487	0.479	45	926	48	923	45	0.001	52	0.001	-3.930	0.409
Tcf7	MA0769.1	Basic helix-loop-helix factors (bHLH)	TCF-7-related factors	vertebrates	16.918	0.356	106	865	111	860	120	0.001	123	0.001	-0.991	0.405
Nr1h3::Rxra	MA0494.1	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)	vertebrates	13.598	0.497	215	756	222	749	235	0.004	251	0.005	-4.490	0.403
NFKB1	MA0105.4	Rel homology region (RHR) factors	NF-kappaB-related factors	vertebrates	20.522	0.671	68	903	72	899	71	0.001	75	0.001	-1.714	0.401
PROX1	MA0794.1	Homeo domain factors	HD-PROS factors	vertebrates	16.936	0.455	101	870	106	865	105	0.001	108	0.001	-1.052	0.400
Pitx1	MA0682.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.584	0.371	836	135	842	129	2536	0.019	2874	0.022	-18.188	0.388
NFATC3	MA0625.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	8.847	0.381	790	181	797	174	2095	0.020	2090	0.020	0.191	0.385
SPDEF	MA0686.1	Tryptophan cluster factors	Ets-related factors	vertebrates	14.474	0.536	298	673	307	664	366	0.004	382	0.004	-2.796	0.374
NEUROD2	MA0668.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	10.701	0.465	816	155	823	148	1957	0.019	2092	0.020	-9.581	0.369
RFX4	MA0799.1	Fork head / winged helix factors	RFX-related factors	vertebrates	15.596	0.481	107	864	113	858	111	0.002	124	0.002	-4.730	0.368
ZNF143	MA0088.2	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	22.060	0.491	31	940	34	937	32	0.000	34	0.001	-1.418	0.367
HMBOX1	MA0895.1	Homeo domain factors	POU domain factors	vertebrates	9.583	0.347	602	369	612	359	1220	0.012	1185	0.011	3.111	0.361
FOXP3	MA0850.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	8.594	0.299	922	49	926	45	5905	0.039	6489	0.043	-19.833	0.355
BSX	MA0876.1	Homeo domain factors	NK-related factors	vertebrates	8.513	0.311	874	97	880	91	4265	0.033	4813	0.037	-22.966	0.350
Bhlha15	MA0607.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	11.820	0.455	741	230	750	221	1548	0.012	1619	0.012	-5.145	0.350
SPIB	MA0081.1	Tryptophan cluster factors	Ets-related factors	vertebrates	9.060	0.466	955	16	957	14	5538	0.037	5002	0.033	20.180	0.344
JDP2	MA0655.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	15.102	0.355	244	727	254	717	308	0.003	309	0.003	-0.236	0.334
Lhx8	MA0705.1	Homeo domain factors	HD-LIM factors	vertebrates	8.840	0.303	788	183	797	174	2253	0.017	2332	0.018	-4.816	0.327
Creb3l2	MA0608.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	12.997	0.624	531	440	543	428	825	0.007	896	0.008	-7.241	0.324
PITX3	MA0714.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.973	0.406	801	170	810	161	2048	0.018	2374	0.020	-20.429	0.319
Nkx2-5(var.2)	MA0503.1	Homeo domain factors	NK-related factors	vertebrates	12.615	0.534	839	132	847	124	2048	0.021	2100	0.022	-3.970	0.319
HOXA10	MA0899.1	Homeo domain factors	HOX-related factors	vertebrates	9.141	0.292	613	358	625	346	1578	0.017	1863	0.020	-22.262	0.314
Sox1	MA0870.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	20.927	0.295	11	960	13	958	12	0.000	13	0.000	-1.124	0.314
PBX1	MA0070.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	14.641	0.310	110	861	118	853	126	0.001	128	0.001	-0.667	0.305
HOXC13	MA0907.1	Homeo domain factors	HOX-related factors	vertebrates	14.190	0.361	219	752	230	741	246	0.003	280	0.003	-6.813	0.300
REST	MA0138.2	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	23.134	0.596	4	967	5	966	4	0.000	5	0.000	-2.108	0.292
ELF1	MA0473.2	Tryptophan cluster factors	Ets-related factors	vertebrates	16.243	0.536	155	816	165	806	170	0.002	187	0.002	-4.370	0.288
BCL6B	MA0731.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	29.809	0.401	1	970	1	970	1	0.000	1	0.000	-0.126	0.288
PPARG	MA0066.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	20.365	0.523	1	970	1	970	1	0.000	1	0.000	-0.116	0.288
NFAT5	MA0606.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	10.151	0.333	870	101	878	93	3416	0.033	3526	0.034	-6.161	0.285
EWSR1-FLI1	MA0149.1	Tryptophan cluster factors	Ets-related factors	vertebrates	32.871	0.554	16	955	19	952	18	0.000	27	0.000	-7.392	0.285
USF1	MA0093.2	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	13.398	0.578	667	304	680	291	1150	0.012	1253	0.013	-9.839	0.282
GATA5	MA0766.1	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	8.347	0.307	847	124	856	115	3347	0.026	3810	0.029	-21.710	0.281
LEF1	MA0768.1	High-mobility group (HMG) domain factors	TCF-7-related factors	vertebrates	17.861	0.425	51	920	57	914	57	0.001	58	0.001	-0.557	0.280
Hoxa11	MA0911.1	Homeo domain factors	HOX-related factors	vertebrates	11.443	0.370	282	689	295	676	382	0.004	409	0.005	-4.715	0.279
FOXA1	MA0148.3	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.765	0.334	618	353	632	339	1476	0.021	1631	0.023	-15.204	0.273
HSF1	MA0486.2	Heat shock factors	HSF factors	vertebrates	18.738	0.366	64	907	71	900	69	0.001	72	0.001	-1.323	0.271
SOX21	MA0866.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	23.365	0.300	14	957	17	954	14	0.000	17	0.000	-2.865	0.268
POU2F2	MA0507.1	Homeo domain factors	POU domain factors	vertebrates	15.114	0.289	313	658	327	644	467	0.006	538	0.007	-11.163	0.267
Sox11	MA0869.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	27.229	0.305	3	968	4	967	4	0.000	4	0.000	-0.073	0.256
SPIC	MA0687.1	Tryptophan cluster factors	Ets-related factors	vertebrates	13.235	0.421	208	763	221	750	256	0.003	260	0.003	-1.002	0.251
TBR1	MA0802.1	T-Box factors	TBrain-related factors	vertebrates	12.472	0.439	464	507	480	491	669	0.006	733	0.007	-7.594	0.249
MYBL1	MA0776.1	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	15.281	0.526	40	931	46	925	40	0.000	47	0.001	-3.582	0.249
Sox6	MA0515.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	13.201	0.401	800	171	812	159	1994	0.019	2141	0.020	-10.305	0.243
DLX6	MA0882.1	Homeo domain factors	NK-related factors	vertebrates	8.327	0.229	830	141	841	130	3936	0.030	4668	0.036	-31.053	0.243
TBX4	MA0806.1	T-Box factors	TBX2-related factors	vertebrates	9.891	0.500	916	55	923	48	2990	0.023	3246	0.025	-13.038	0.234
Foxa2	MA0047.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.268	0.315	488	483	505	466	911	0.010	992	0.011	-9.076	0.232
POU3F1	MA0786.1	Homeo domain factors	POU domain factors	vertebrates	11.957	0.245	316	655	332	639	541	0.006	612	0.007	-10.069	0.231
TBX2	MA0688.1	T-Box factors	TBX2-related factors	vertebrates	10.262	0.450	532	439	549	422	789	0.008	893	0.009	-11.701	0.230
ATF4	MA0833.1	Basic leucine zipper factors (bZIP)	ATF-4-related factors	vertebrates	15.609	0.443	110	861	121	850	116	0.001	132	0.002	-5.079	0.223
TBX21	MA0690.1	T-Box factors	TBrain-related factors	vertebrates	13.531	0.425	355	616	372	599	454	0.004	499	0.005	-6.464	0.222
ELF3	MA0640.1	Tryptophan cluster factors	Ets-related factors	vertebrates	17.342	0.584	86	885	96	875	91	0.001	102	0.001	-3.980	0.218
ZBED1	MA0749.1	C2H2 zinc finger factors	BED zinc finger factors	vertebrates	19.052	0.485	5	966	7	964	5	0.000	7	0.000	-2.787	0.215
NKX6-1	MA0674.1	Homeo domain factors	NK-related factors	vertebrates	9.183	0.199	781	190	795	176	2966	0.023	3382	0.026	-20.668	0.213
TEAD3	MA0808.1	TEA domain factors	TEF-1-related factors	vertebrates	11.506	0.415	880	91	890	81	2885	0.022	3088	0.024	-10.622	0.211
GBX1	MA0889.1	Homeo domain factors	HOX-related factors	vertebrates	10.843	0.319	580	391	598	373	1143	0.011	1232	0.012	-8.184	0.209
Mycn	MA0104.3	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	13.008	0.673	669	302	686	285	1263	0.010	1346	0.010	-6.544	0.207
Hmx1	MA0896.1	Homeo domain factors	NK-related factors	vertebrates	13.599	0.383	38	933	45	926	41	0.001	51	0.001	-5.821	0.204
MSX2	MA0708.1	Homeo domain factors	NK-related factors	vertebrates	9.959	0.264	679	292	696	275	1671	0.013	1792	0.014	-8.268	0.204
Alx1	MA0854.1	Homeo domain factors	Paired-related HD factors	vertebrates	13.599	0.333	48	923	56	915	52	0.001	58	0.001	-3.297	0.201
Nr5a2	MA0505.1	Nuclear receptors with C4 zinc fingers	FTZ-F1-related receptors (NR5)	vertebrates	14.913	0.522	216	755	232	739	253	0.004	263	0.004	-2.466	0.198
PRRX1	MA0716.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.226	0.213	774	197	789	182	2891	0.022	3413	0.026	-25.775	0.198
CREB3	MA0638.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	15.483	0.552	59	912	68	903	60	0.001	72	0.001	-5.341	0.198
Lhx4	MA0704.1	Homeo domain factors	HD-LIM factors	vertebrates	8.328	0.194	780	191	795	176	3144	0.024	3855	0.029	-33.051	0.195
Hoxd9	MA0913.1	Homeo domain factors	HOX-related factors	vertebrates	9.118	0.300	666	305	684	287	2094	0.020	2686	0.026	-36.753	0.192
Atf3	MA0605.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	11.483	0.498	597	374	616	355	961	0.007	1031	0.008	-6.289	0.192
GLIS1	MA0735.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	25.361	0.673	7	964	10	961	7	0.000	10	0.000	-3.846	0.180
Hoxd3	MA0912.1	Homeo domain factors	HOX-related factors	vertebrates	11.598	0.341	131	840	145	826	154	0.002	168	0.003	-4.388	0.180
POU1F1	MA0784.1	Homeo domain factors	POU domain factors	vertebrates	14.958	0.281	102	869	115	856	119	0.002	137	0.002	-5.814	0.170
POU3F4	MA0789.1	Homeo domain factors	POU domain factors	vertebrates	13.378	0.229	400	571	421	550	758	0.007	811	0.007	-5.696	0.170
MYBL2	MA0777.1	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	16.774	0.467	6	965	9	962	6	0.000	9	0.000	-3.926	0.162
MAX	MA0058.3	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	11.435	0.606	617	354	638	333	1000	0.010	1115	0.011	-11.061	0.160
Pax6	MA0069.1	Paired box factors	Paired plus homeo domain	vertebrates	13.798	0.432	26	945	33	938	27	0.000	33	0.000	-3.953	0.157
Foxo1	MA0480.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.240	0.365	619	352	641	330	1264	0.013	1303	0.014	-3.738	0.147
FOXO4	MA0848.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	10.660	0.295	867	104	881	90	3854	0.026	4128	0.028	-11.621	0.137
MNX1	MA0707.1	Homeo domain factors	HOX-related factors	vertebrates	8.729	0.228	718	253	739	232	2468	0.024	3111	0.030	-37.182	0.133
MNT	MA0825.1	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	11.166	0.600	596	375	620	351	963	0.009	1010	0.010	-4.809	0.128
POU6F1	MA0628.1	Homeo domain factors	POU domain factors	vertebrates	10.097	0.209	287	684	310	661	412	0.004	488	0.005	-10.980	0.127
TBX5	MA0807.1	T-Box factors	TBX2-related factors	vertebrates	8.477	0.507	911	60	922	49	3073	0.023	3085	0.024	-0.789	0.126
HOXD12	MA0873.1	Homeo domain factors	HOX-related factors	vertebrates	14.187	0.355	236	735	258	713	286	0.003	327	0.003	-7.601	0.123
Nkx2-5	MA0063.1	Homeo domain factors	NK-related factors	vertebrates	8.270	0.218	814	157	832	139	3790	0.025	4449	0.030	-26.716	0.122
POU3F2	MA0787.1	Homeo domain factors	POU domain factors	vertebrates	13.773	0.240	235	736	257	714	348	0.004	391	0.004	-7.626	0.122
RORA	MA0071.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	13.190	0.424	380	591	405	566	501	0.005	539	0.005	-5.271	0.122
TBX15	MA0803.1	T-Box factors	TBX1-related factors	vertebrates	13.306	0.505	650	321	674	297	1142	0.009	1298	0.010	-12.415	0.118
HINFP	MA0131.2	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	13.024	0.717	435	536	461	510	830	0.009	840	0.010	-1.312	0.116
E2F3	MA0469.2	Fork head / winged helix factors	E2F-related factors	vertebrates	21.784	0.442	2	969	4	967	2	0.000	4	0.000	-4.308	0.115
NR2F1	MA0017.2	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	13.343	0.589	528	443	554	417	800	0.010	848	0.011	-6.088	0.115
CUX2	MA0755.1	Homeo domain factors	HD-CUT factors	vertebrates	11.691	0.277	227	744	250	721	296	0.003	336	0.003	-6.978	0.109
Pou5f1::Sox2	MA0142.1	Homeo domain factors::High-mobility group (HMG) domain factors	POU domain factors::SOX-related factors	vertebrates	14.808	0.308	78	893	94	877	89	0.001	101	0.001	-4.679	0.091
Twist2	MA0633.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	11.928	0.423	409	562	438	533	576	0.005	681	0.006	-12.852	0.089
TBX20	MA0689.1	T-Box factors	TBX1-related factors	vertebrates	13.845	0.429	272	699	299	672	332	0.003	352	0.004	-3.614	0.085
PAX9	MA0781.1	Paired box factors	Paired domain only	vertebrates	22.261	0.612	13	958	20	951	14	0.000	20	0.000	-5.576	0.083
HOXA5	MA0158.1	Homeo domain factors	HOX-related factors	vertebrates	8.759	0.315	885	86	901	70	4362	0.033	5388	0.041	-40.579	0.081
MEOX1	MA0661.1	Homeo domain factors	HOX-related factors	vertebrates	9.622	0.316	664	307	692	279	1563	0.015	1747	0.017	-14.176	0.079
TAL1::TCF3	MA0091.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	Tal-related factors::E2A-related factors	vertebrates	14.070	0.453	247	724	274	697	302	0.003	338	0.004	-6.868	0.079
HOXD11	MA0908.1	Homeo domain factors	HOX-related factors	vertebrates	12.370	0.321	374	597	404	567	591	0.006	700	0.007	-13.160	0.079
